"species","long","lat"
"Larus.graellsi",28.631264,65.587488
"Larus.graellsi",27.488344,62.454525
"Larus.graellsi",29.447724,61.98431
"Larus.graellsi",25.369044,65.587488
"Larus.graellsi",28.502574,63.34504
"Larus.graellsi",26.539624,60.659211
"Larus.graellsi",26.504444,62.903275
"Larus.graellsi",29.491304,63.3308
"Larus.graellsi",25.423374,64.690609
"Larus.graellsi",24.406639,66.023003
"Larus.graellsi",27.454324,60.210307
"Larus.graellsi",25.310419,66.484232
"Larus.graellsi",29.461759,62.43317
"Larus.graellsi",28.457204,62.447825
"Larus.graellsi",26.526254,61.556926
"Larus.graellsi",24.387239,66.471597
"Larus.graellsi",28.526474,63.793594
"Larus.graellsi",29.434144,61.535426
"Larus.graellsi",27.566899,66.492247
"Larus.graellsi",26.545984,60.210307
"Larus.graellsi",28.394674,61.101751
"Larus.graellsi",26.480234,64.249354
"Larus.graellsi",28.720974,66.932552
"Larus.graellsi",26.462559,65.146598
"Larus.graellsi",27.528749,64.697994
"Larus.graellsi",27.503649,63.352
"Larus.graellsi",30.849744,70.06669
"Larus.graellsi",28.576934,64.690609
"Larus.graellsi",29.476279,62.882
"Larus.graellsi",24.849744,70.06669
"Larus.graellsi",26.376264,68.734456
"Larus.graellsi",28.660009,66.035873
"Larus.graellsi",28.414829,61.550476
"Larus.graellsi",24.835574,70.515205
"Larus.graellsi",27.511714,63.800689
"Larus.graellsi",31.520814,62.89645
"Larus.graellsi",29.121729,69.169637
"Larus.graellsi",26.320709,70.52775
"Larus.graellsi",28.551249,64.242119
"Larus.graellsi",28.753334,67.380837
"Larus.graellsi",25.396714,65.139063
"Larus.graellsi",27.495864,62.903275
"Larus.graellsi",26.471559,64.697994
"Larus.graellsi",29.506864,63.779574
"Larus.graellsi",24.460619,64.677034
"Larus.graellsi",26.453214,65.595173
"Larus.graellsi",27.520074,64.249354
"Larus.graellsi",50.363304,69.182816
"Larus.graellsi",29.593669,66.023003
"Larus.graellsi",26.363304,69.182816
"Larus.graellsi",27.637004,69.182816
"Larus.graellsi",27.537749,65.146598
"Larus.graellsi",39.611634,68.286066
"Larus.fuscus",14.758224,56.867491
"Larus.fuscus",15.476203,56.115516
"Larus.fuscus",14.697786,56.857272
"Larus.fuscus",12.930153,59.127322
"Larus.fuscus",14.758224,56.867491
"Larus.fuscus",17.884775,59.375242
"Larus.fuscus",14.75791,56.863887
"Larus.fuscus",14.758224,56.867491
"Larus.fuscus",14.758224,56.867491
"Larus.fuscus",14.697786,56.857272
"Larus.fuscus",14.758224,56.867491
"Larus.fuscus",14.758224,56.867491
"Larus.fuscus",14.758224,56.867491
"Larus.fuscus",18.058742,59.531258
